,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,188.43,191.06,523.0,short,1375.49,1.37549,101375.49,,1375.49
2,189.65,188.32,538.0,short,-715.54,-0.7058313602232649,100659.95000000001,sl,-715.54
3,179.97,183.25,549.0,short,1800.72,1.7889140616501396,102460.67000000001,sl,1800.72
4,181.7,179.98,569.0,short,-978.68,-0.9551762642192364,101481.99000000002,sl,-978.68
5,180.27,181.48,559.0,short,676.39,0.6665123535713084,102158.38000000002,sl,676.39
6,175.89,179.32,569.0,short,1951.67,1.910435541362343,104110.05000000002,sl,1951.67
7,177.68,176.38,590.0,short,-767.0,-0.7367204222839197,103343.05000000002,sl,-767.0
8,178.74,177.84,581.0,short,-522.9,-0.5059846791825864,102820.15000000002,sl,-522.9
9,179.4,178.85,574.0,short,-315.7,-0.3070409836982342,102504.45000000003,sl,-315.7
10,176.23,175.28,581.0,long,-551.95,-0.5384644276419218,101952.50000000003,sl,-551.95
11,175.18,179.23,581.0,long,2353.05,2.3079865623697304,104305.55000000003,sl,2353.05
12,178.78,178.3,585.0,short,-280.8,-0.2692090689325735,104024.75000000003,sl,-280.8
13,178.12,178.9,581.0,short,453.18,0.4356463245525703,104477.93000000002,sl,453.18
14,179.33,178.22,586.0,short,-650.46,-0.6225812475419449,103827.47000000002,sl,-650.46
15,174.25,178.73,580.0,short,2598.4,2.5026132294276264,106425.87000000001,sl,2598.4
16,172.72,174.0,611.0,short,782.08,0.7348589210499289,107207.95000000001,sl,782.08
17,171.05,172.68,620.0,short,1010.6,0.9426539729562965,108218.55000000002,sl,1010.6
18,163.42,168.06,643.0,short,2983.52,2.756939545022549,111202.07000000002,sl,2983.52
19,162.88,163.44,680.0,short,380.8,0.34243966861408237,111582.87000000002,sl,380.8
20,161.56,162.79,685.0,short,842.55,0.7550890203845804,112425.42000000003,sl,842.55
21,164.88,162.36,692.0,short,-1743.84,-1.551108281383338,110681.58000000003,sl,-1743.84
22,171.76,171.82,644.0,short,38.64,0.03491095808354018,110720.22000000003,sl,38.64
23,178.82,181.29,619.0,long,1528.93,1.3808950162851912,112249.15000000002,sl,1528.93
24,181.04,179.74,620.0,long,-806.0,-0.7180455264026496,111443.15000000002,sl,-806.0
25,179.96,178.61,619.0,long,-835.65,-0.7498442030757385,110607.50000000003,sl,-835.65
26,178.55,177.13,619.0,long,-878.98,-0.794683904798499,109728.52000000003,sl,-878.98
27,175.94,177.39,618.0,short,896.1,0.8166518604278994,110624.62000000004,sl,896.1
28,175.71,175.52,630.0,short,-119.7,-0.10820376151348585,110504.92000000004,sl,-119.7
29,172.09,175.51,629.0,short,2151.18,1.946682554948684,112656.10000000003,sl,2151.18
